ASIN,popularity
B09SDXFFQ1,455
B09SDY8DCT,419
B09SDYQ3WG,307
B08B3Z2YY3,288
B09SDXRYBG,283
B09SDXSQ33,191
B09SDY4VDC,180
B0894XH3LN,179
B09SDY9SQ6,169
B081WVMMCY,160
